AAPL_110.0_2025-04-17,AAPL,110.0,81.25,2025-04-17,2025-04-06T09:37:35.578504
AAPL_100.0_2025-04-25,AAPL,100.0,105.45,2025-04-25,2025-04-06T09:37:38.704275
AAPL_110.0_2025-05-02,AAPL,110.0,96.56,2025-05-02,2025-04-06T09:37:39.560945
AAPL_140.0_2025-05-09,AAPL,140.0,65.4,2025-05-09,2025-04-06T09:37:40.189982
AAPL_100.0_2025-05-16,AAPL,100.0,124.65,2025-05-16,2025-04-06T09:37:40.820503
AAPL_115.0_2025-04-17,AAPL,115.0,80.75,2025-04-17,2025-04-06T09:37:41.546956
AAPL_120.0_2025-04-17,AAPL,120.0,70.35,2025-04-17,2025-04-06T09:39:27.120455
AAPL_110.0_2025-04-25,AAPL,110.0,94.4,2025-04-25,2025-04-06T09:39:27.471479
AAPL_130.0_2025-05-02,AAPL,130.0,93.95,2025-05-02,2025-04-06T09:39:27.723947
AAPL_145.0_2025-05-09,AAPL,145.0,75.89,2025-05-09,2025-04-06T09:39:27.991639
AAPL_105.0_2025-05-16,AAPL,105.0,98.53,2025-05-16,2025-04-06T09:39:28.290041
AAPL_125.0_2025-04-17,AAPL,125.0,71.55,2025-04-17,2025-04-06T09:39:28.728942
AAPL_120.0_2025-04-25,AAPL,120.0,86.8,2025-04-25,2025-04-06T09:39:29.005874
AAPL_140.0_2025-05-02,AAPL,140.0,62.31,2025-05-02,2025-04-06T09:39:29.384255
AAPL_165.0_2025-05-09,AAPL,165.0,41.18,2025-05-09,2025-04-06T09:39:29.713794
AAPL_110.0_2025-05-16,AAPL,110.0,109.68,2025-05-16,2025-04-06T09:39:30.008357
AAPL_130.0_2025-04-17,AAPL,130.0,67.15,2025-04-17,2025-04-06T09:41:13.924040
AAPL_130.0_2025-04-25,AAPL,130.0,61.8,2025-04-25,2025-04-06T09:41:14.445615
AAPL_145.0_2025-05-02,AAPL,145.0,60.55,2025-05-02,2025-04-06T09:41:15.019552
AAPL_170.0_2025-05-09,AAPL,170.0,34.6,2025-05-09,2025-04-06T09:41:15.407727
AAPL_115.0_2025-05-16,AAPL,115.0,88.56,2025-05-16,2025-04-06T09:41:16.190250
AAPL_135.0_2025-04-17,AAPL,135.0,54.45,2025-04-17,2025-04-06T09:41:16.717344
AAPL_140.0_2025-04-17,AAPL,140.0,50.83,2025-04-17,2025-04-06T09:43:30.101209
AAPL_140.0_2025-04-25,AAPL,140.0,50.2,2025-04-25,2025-04-06T09:43:30.442170
AAPL_150.0_2025-05-02,AAPL,150.0,44.92,2025-05-02,2025-04-06T09:43:30.743109
